address,length,value
"10040f3c",28,"""$fastman92limitAdjuster.asi"""
"10040f58",289,"""E8 ? ? ? ? 83 FE ? 74 ? 83 FE ? 75 ? 8B 4D ? 6A ? 6A ? 6A ? FF 35 ? ? ? ? E8 ? ? ? ? 5E 5D C3 ? ? ? ? ? ? ? ? ? ? ? ? ? 55 8B EC 8B 4D ? 56 8B 35 ? ? ? ? E8 ? ? ? ? 83 FE ? 5E 75 ? 8B 4D ? 6A ? 6A ? 6A ? 68 ? ? ? ? E8 ? ? ? ? 5D C3 ? ? ? 55 8B EC 8B 4D ? 56 8B 35 ? ? ? ? E8 ? ? ? ? 56 B9"""
"1004107c",34,"""E8 ? ? ? ? 83 C4 ? EB ? ? ? 8B F2"""
"100410b8",15,"""bad allocation"""
"100410d4",18,"""bad function call"""
"10043b50",8,"""success"""
"10043b58",29,"""address family not supported"""
"10043b78",16,"""address in use"""
"10043b88",24,"""address not available"""
"10043ba0",20,"""already connected"""
"10043bb4",24,"""argument list too long"""
"10043bcc",24,"""argument out of domain"""
"10043be4",12,"""bad address"""
"10043bf0",20,"""bad file descriptor"""
"10043c04",12,"""bad message"""
"10043c10",12,"""broken pipe"""
"10043c1c",20,"""connection aborted"""
"10043c30",32,"""connection already in progress"""
"10043c50",20,"""connection refused"""
"10043c64",20,"""connection reset"""
"10043c78",20,"""cross device link"""
"10043c8c",32,"""destination address required"""
"10043cac",24,"""device or resource busy"""
"10043cc4",20,"""directory not empty"""
"10043cd8",24,"""executable format error"""
"10043cf0",12,"""file exists"""
"10043cfc",16,"""file too large"""
"10043d0c",20,"""filename too long"""
"10043d20",24,"""function not supported"""
"10043d38",20,"""host unreachable"""
"10043d4c",20,"""identifier removed"""
"10043d60",24,"""illegal byte sequence"""
"10043d78",36,"""inappropriate io control operation"""
"10043d9c",12,"""interrupted"""
"10043da8",17,"""invalid argument"""
"10043dbc",16,"""invalid seek"""
"10043dcc",12,"""io error"""
"10043dd8",16,"""is a directory"""
"10043de8",16,"""message size"""
"10043df8",16,"""network down"""
"10043e08",16,"""network reset"""
"10043e18",20,"""network unreachable"""
"10043e2c",16,"""no buffer space"""
"10043e3c",20,"""no child process"""
"10043e50",8,"""no link"""
"10043e58",20,"""no lock available"""
"10043e6c",24,"""no message available"""
"10043e84",12,"""no message"""
"10043e90",20,"""no protocol option"""
"10043ea4",20,"""no space on device"""
"10043eb8",20,"""no stream resources"""
"10043ecc",28,"""no such device or address"""
"10043ee8",16,"""no such device"""
"10043ef8",28,"""no such file or directory"""
"10043f14",16,"""no such process"""
"10043f24",16,"""not a directory"""
"10043f34",16,"""not a socket"""
"10043f44",16,"""not a stream"""
"10043f54",16,"""not connected"""
"10043f64",18,"""not enough memory"""
"10043f78",16,"""not supported"""
"10043f88",20,"""operation canceled"""
"10043f9c",24,"""operation in progress"""
"10043fb4",24,"""operation not permitted"""
"10043fcc",24,"""operation not supported"""
"10043fe4",24,"""operation would block"""
"10043ffc",12,"""owner dead"""
"10044008",20,"""permission denied"""
"1004401c",16,"""protocol error"""
"1004402c",24,"""protocol not supported"""
"10044044",24,"""read only file system"""
"1004405c",30,"""resource deadlock would occur"""
"1004407c",31,"""resource unavailable try again"""
"1004409c",20,"""result out of range"""
"100440b0",24,"""state not recoverable"""
"100440c8",16,"""stream timeout"""
"100440d8",16,"""text file busy"""
"100440e8",12,"""timed out"""
"100440f4",32,"""too many files open in system"""
"10044114",20,"""too many files open"""
"10044128",16,"""too many links"""
"10044138",32,"""too many symbolic link levels"""
"10044158",16,"""value too large"""
"10044168",20,"""wrong protocol type"""
"1004417c",14,"""unknown error"""
"10044308",10,"u""w+bx"""
"10044320",14,"""bad exception"""
"10044568",44,"u""!x-sys-default-locale"""
"10044598",66,"u""api-ms-win-core-synch-l1-2-0.dll"""
"100445dc",14,"""WaitOnAddress"""
"100445ec",20,"""WakeByAddressSingle"""
"10044600",17,"""WakeByAddressAll"""
"10044614",26,"u""kernel32.dll"""
"10044630",14,"""GetTempPath2W"""
"10044640",31,"""GetSystemTimePreciseAsFileTime"""
"1004466c",40,"""0123456789abcdefghijklmnopqrstuvwxyz"""
"100446bc",40,"""0123456789abcdefghijklmnopqrstuvwxyz"""
"10044ae8",12,"""__based("""
"10044af4",8,"""__cdecl"""
"10044afc",12,"""__stdcall"""
"10044b08",12,"""__thiscall"""
"10044b14",12,"""__fastcall"""
"10044b20",16,"""__vectorcall"""
"10044b30",16,"""__preserve_none"""
"10044b40",12,"""__clrcall"""
"10044b54",12,"""__swift_1"""
"10044b60",12,"""__swift_2"""
"10044b6c",12,"""__swift_3"""
"10044b80",12,"""__restrict"""
"10044b8c",12,"""__unaligned"""
"10044b98",12,"""restrict("""
"10044bac",8,""" delete"""
"10044bd0",12,"""operator"""
"10044c4c",12,"""`vftable'"""
"10044c58",12,"""`vbtable'"""
"10044c78",24,"""`local static guard'"""
"10044c90",12,"""`string'"""
"10044c9c",20,"""`vbase destructor'"""
"10044cb0",32,"""`vector deleting destructor'"""
"10044cd0",32,"""`default constructor closure'"""
"10044cf0",32,"""`scalar deleting destructor'"""
"10044d10",32,"""`vector constructor iterator'"""
"10044d30",32,"""`vector destructor iterator'"""
"10044d50",36,"""`vector vbase constructor iterator'"""
"10044d74",28,"""`virtual displacement map'"""
"10044d90",36,"""`eh vector constructor iterator'"""
"10044db4",32,"""`eh vector destructor iterator'"""
"10044dd4",40,"""`eh vector vbase constructor iterator'"""
"10044dfc",28,"""`copy constructor closure'"""
"10044e18",16,"""`udt returning'"""
"10044e34",16,"""`local vftable'"""
"10044e44",36,"""`local vftable constructor closure'"""
"10044e70",12,""" delete[]"""
"10044e7c",16,"""`omni callsig'"""
"10044e8c",28,"""`placement delete closure'"""
"10044ea8",32,"""`placement delete[] closure'"""
"10044ec8",40,"""`managed vector constructor iterator'"""
"10044ef0",40,"""`managed vector destructor iterator'"""
"10044f18",40,"""`eh vector copy constructor iterator'"""
"10044f40",44,"""`eh vector vbase copy constructor iterator'"""
"10044f6c",28,"""`dynamic initializer for '"""
"10044f88",36,"""`dynamic atexit destructor for '"""
"10044fac",36,"""`vector copy constructor iterator'"""
"10044fd0",44,"""`vector vbase copy constructor iterator'"""
"10044ffc",44,"""`managed vector copy constructor iterator'"""
"10045028",28,"""`local static thread guard'"""
"10045044",16,"""operator \""\"" """
"10045054",20,"""operator co_await"""
"10045068",12,"""operator<=>"""
"10045074",20,""" Type Descriptor'"""
"10045088",28,""" Base Class Descriptor at ("""
"100450a4",20,""" Base Class Array'"""
"100450b8",32,""" Class Hierarchy Descriptor'"""
"100450d8",28,""" Complete Object Locator'"""
"100450f4",24,"""`anonymous namespace'"""
"10045118",60,"u""api-ms-win-core-fibers-l1-1-1"""
"10045154",58,"u""api-ms-win-core-synch-l1-2-0"""
"10045190",18,"u""kernel32"""
"100451a4",16,"u""api-ms-"""
"100451bc",9,"""FlsAlloc"""
"100451d0",8,"""FlsFree"""
"100451e0",12,"""FlsGetValue"""
"100451f4",12,"""FlsSetValue"""
"10045208",28,"""InitializeCriticalSectionEx"""
"10045590",14,"u""(null)"""
"1004681c",24,"u""mscoree.dll"""
"10046834",15,"""CorExitProcess"""
"100469bc",6,"""log10"""
"10046a18",8,"""floor"""
"10046a6c",12,"""_nextafter"""
"10046b40",16,"u""LC_ALL"""
"10046b50",24,"u""LC_COLLATE"""
"10046b68",18,"u""LC_CTYPE"""
"10046b7c",24,"u""LC_MONETARY"""
"10046b94",22,"u""LC_NUMERIC"""
"10046bac",16,"u""LC_TIME"""
"10046d68",7,"""Sunday"""
"10046d70",7,"""Monday"""
"10046d78",8,"""Tuesday"""
"10046d80",10,"""Wednesday"""
"10046d8c",9,"""Thursday"""
"10046d98",7,"""Friday"""
"10046da0",9,"""Saturday"""
"10046ddc",8,"""January"""
"10046de4",9,"""February"""
"10046df0",6,"""March"""
"10046df8",6,"""April"""
"10046e10",7,"""August"""
"10046e18",10,"""September"""
"10046e24",8,"""October"""
"10046e2c",9,"""November"""
"10046e38",9,"""December"""
"10046e4c",9,"""MM/dd/yy"""
"10046e58",20,"""dddd, MMMM dd, yyyy"""
"10046e6c",9,"""HH:mm:ss"""
"10046eb0",14,"u""Sunday"""
"10046ec0",14,"u""Monday"""
"10046ed0",16,"u""Tuesday"""
"10046ee0",20,"u""Wednesday"""
"10046ef4",18,"u""Thursday"""
"10046f08",14,"u""Friday"""
"10046f18",18,"u""Saturday"""
"10046f8c",16,"u""January"""
"10046f9c",18,"u""February"""
"10046fb0",12,"u""March"""
"10046fbc",12,"u""April"""
"10046fc8",10,"u""June"""
"10046fd4",10,"u""July"""
"10046fe0",14,"u""August"""
"10046ff0",20,"u""September"""
"10047004",16,"u""October"""
"10047014",18,"u""November"""
"10047028",18,"u""December"""
"1004704c",18,"u""MM/dd/yy"""
"10047060",40,"u""dddd, MMMM dd, yyyy"""
"10047088",18,"u""HH:mm:ss"""
"1004709c",12,"u""en-US"""
"10047100",64,"u""api-ms-win-core-datetime-l1-1-1"""
"10047140",56,"u""api-ms-win-core-file-l1-2-4"""
"10047178",56,"u""api-ms-win-core-file-l1-2-2"""
"100471b0",72,"u""api-ms-win-core-localization-l1-2-1"""
"100471f8",90,"u""api-ms-win-core-localization-obsolete-l1-2-0"""
"10047258",76,"u""api-ms-win-core-processthreads-l1-1-2"""
"100472a4",60,"u""api-ms-win-core-string-l1-1-0"""
"100472e0",62,"u""api-ms-win-core-sysinfo-l1-2-1"""
"10047320",58,"u""api-ms-win-core-winrt-l1-1-0"""
"1004735c",60,"u""api-ms-win-core-xstate-l2-1-0"""
"10047398",78,"u""api-ms-win-rtcore-ntuser-window-l1-1-0"""
"100473e8",86,"u""api-ms-win-security-systemfunctions-l1-1-0"""
"10047440",70,"u""ext-ms-win-ntuser-dialogbox-l1-1-0"""
"10047488",78,"u""ext-ms-win-ntuser-windowstation-l1-1-0"""
"100474d8",18,"u""advapi32"""
"100474ec",22,"u""kernelbase"""
"10047504",12,"u""ntdll"""
"10047510",70,"u""api-ms-win-appmodel-runtime-l1-1-2"""
"10047558",14,"u""user32"""
"10047568",60,"u""api-ms-win-core-fibers-l1-1-0"""
"100475a4",16,"u""ext-ms-"""
"100475b8",16,"""AreFileApisANSI"""
"100475d0",16,"""CompareStringEx"""
"100475e8",20,"""EnumSystemLocalesEx"""
"10047604",16,"""GetDateFormatEx"""
"1004761c",16,"""GetLocaleInfoEx"""
"10047634",16,"""GetTimeFormatEx"""
"1004764c",25,"""GetUserDefaultLocaleName"""
"10047678",18,"""IsValidLocaleName"""
"10047694",14,"""LCMapStringEx"""
"100476ac",17,"""LCIDToLocaleName"""
"100476c8",17,"""LocaleNameToLCID"""
"100476e0",13,"""RoInitialize"""
"100476f4",15,"""RoUninitialize"""
"10047708",37,"""AppPolicyGetProcessTerminationMethod"""
"10047734",37,"""AppPolicyGetThreadInitializationType"""
"100477d0",10,"""NAN(SNAN)"""
"100477dc",10,"""nan(snan)"""
"100477e8",9,"""NAN(IND)"""
"100477f4",9,"""nan(ind)"""
"10047800",6,"""e+000"""
"1004783c",6,"""UTF-8"""
"10047844",16,"""UTF-16LEUNICODE"""
"1004785c",12,"u""UTF-8"""
"10047868",32,"u""UTF-16LEUNICODE"""
"100478e8",22,"""SunMonTueWedThuFriSat"""
"10047900",37,"""JanFebMarAprMayJunJulAugSepOctNovDec"""
"10047940",12,"u""ja-JP"""
"1004794c",12,"u""zh-CN"""
"10047958",12,"u""ko-KR"""
"10047964",12,"u""zh-TW"""
"10047d98",18,"u""american"""
"10047dac",36,"u""american english"""
"10047dd0",36,"u""american-english"""
"10047df4",24,"u""australian"""
"10047e0c",16,"u""belgian"""
"10047e1c",20,"u""canadian"""
"10047e40",16,"u""chinese"""
"10047e50",36,"u""chinese-hongkong"""
"10047e74",40,"u""chinese-simplified"""
"10047e9c",36,"u""chinese-singapore"""
"10047ec0",40,"u""chinese-traditional"""
"10047ee8",28,"u""dutch-belgian"""
"10047f04",36,"u""english-american"""
"10047f28",24,"u""english-aus"""
"10047f40",32,"u""english-belize"""
"10047f60",24,"u""english-can"""
"10047f78",36,"u""english-caribbean"""
"10047f9c",24,"u""english-ire"""
"10047fb4",32,"u""english-jamaica"""
"10047fd4",24,"u""english-nz"""
"10047fec",44,"u""english-south africa"""
"10048018",52,"u""english-trinidad y tobago"""
"1004804c",24,"u""english-uk"""
"10048064",24,"u""english-us"""
"1004807c",24,"u""english-usa"""
"10048094",32,"u""french-belgian"""
"100480b4",32,"u""french-canadian"""
"100480d4",36,"u""french-luxembourg"""
"100480f8",28,"u""french-swiss"""
"10048114",32,"u""german-austrian"""
"10048134",40,"u""german-lichtenstein"""
"1004815c",36,"u""german-luxembourg"""
"10048180",28,"u""german-swiss"""
"1004819c",28,"u""irish-english"""
"100481b8",28,"u""italian-swiss"""
"100481d4",20,"u""norwegian"""
"100481e8",36,"u""norwegian-bokmal"""
"1004820c",36,"u""norwegian-nynorsk"""
"10048230",44,"u""portuguese-brazilian"""
"1004825c",36,"u""spanish-argentina"""
"10048280",32,"u""spanish-bolivia"""
"100482a0",28,"u""spanish-chile"""
"100482bc",36,"u""spanish-colombia"""
"100482e0",40,"u""spanish-costa rica"""
"10048308",56,"u""spanish-dominican republic"""
"10048340",32,"u""spanish-ecuador"""
"10048360",40,"u""spanish-el salvador"""
"10048388",36,"u""spanish-guatemala"""
"100483ac",36,"u""spanish-honduras"""
"100483d0",32,"u""spanish-mexican"""
"100483f0",32,"u""spanish-modern"""
"10048410",36,"u""spanish-nicaragua"""
"10048434",32,"u""spanish-panama"""
"10048454",36,"u""spanish-paraguay"""
"10048478",28,"u""spanish-peru"""
"10048494",40,"u""spanish-puerto rico"""
"100484bc",32,"u""spanish-uruguay"""
"100484dc",36,"u""spanish-venezuela"""
