address,length,value
"0085a528",18,"""data\\shopping.dat"""
"0085a550",6,"""shops"""
"0085a558",7,"""bought"""
"0085a56a",10,"""HBREWARD"""
"0085a574",8,"""USJ_ALL"""
"0085a580",12,"""Stunt Jumps"""
"0085a59a",10,"""HBTAG_ONE"""
"0085a5a4",8,"""TAG_ALL"""
"0085a5da",14,"""HBprt_glass"""
"0085a5e8",14,"""prt_wheeldirt"""
"0085a5f8",16,"""prt_watersplash"""
"0085a608",9,"""prt_wake"""
"0085a614",11,"""prt_splash"""
"0085a620",12,"""prt_spark_2"""
"0085a62c",10,"""prt_spark"""
"0085a638",21,"""prt_smokeII_3_expand"""
"0085a650",15,"""prt_smoke_huge"""
"0085a660",10,"""prt_sand2"""
"0085a66c",9,"""prt_sand"""
"0085a678",13,"""prt_gunshell"""
"0085a688",19,"""prt_collisionsmoke"""
"0085a69c",14,"""prt_cardebris"""
"0085a6ac",11,"""prt_bubble"""
"0085a6b8",15,"""prt_boatsplash"""
"0085a6c8",10,"""prt_blood"""
"0085a6d4",19,"""models\\effects.fxp"""
"0085a70c",14,"""water_hydrant"""
"0085a71c",9,"""gunsmoke"""
"0085a728",9,"""gunflash"""
"0085a734",10,"""tank_fire"""
"0085a740",17,"""water_splash_big"""
"0085a754",13,"""water_splash"""
"0085a764",16,"""water_splsh_sml"""
"0085a999",43,""".eBCannot Find Fx System Blueprint - %s"""
"0085aa02",14,"""HBheli_dust"""
"0085aa10",8,"""teargas"""
"0085aa18",12,"""smoke_flare"""
"0085aa24",14,"""water_fnt_tme"""
"0085aa34",15,"""water_fountain"""
"0085aa44",14,"""molotov_flame"""
"0085aa54",6,"""Flame"""
"0085aa5c",10,"""fire_bike"""
"0085aa68",9,"""fire_car"""
"0085aa74",11,"""fire_large"""
"0085aa80",9,"""fire_med"""
"0085abc4",23,"""CEventEditableResponse"""
"0085b1fc",16,"""CEventAttractor"""
"0085b9cc",22,"""CompPlayerCollPedResp"""
"0085b9e4",16,"""CompDeadPedResp"""
"0085b9f7",29,"""?EventChatPartnerResponse"""
"0085ba14",17,"""CompSexyVhclResp"""
"0085ba28",20,"""CompPartnerTaskResp"""
"0085ba3c",20,"""CompVehicleCollResp"""
"0085ba52",22,"""(?CompPedCollPedResp"""
"0085ba6f",25,"""?CompPedCollPlayerResp"""
"0085ba88",17,"""CompBldgCollResp"""
"0085ba9c",23,"""CompVehiclePotCollResp"""
"0085bab4",24,"""333>CompVhclPotCollResp"""
"0085bacf",21,"""?CompPotPedCollResp"""
"0085bae8",8,"""misc_c_"""
"0085baf0",8,"""misc_b_"""
"0085baf8",8,"""misc_a_"""
"0085bb00",6,"""rbmp_"""
"0085bb08",6,"""fbmp_"""
"0085bb18",7,"""wheel_"""
"0085bb20",7,"""stereo"""
"0085bb28",10,"""hydralics"""
"0085bb58",6,"""wg_r_"""
"0085bb60",6,"""wg_l_"""
"0085bb70",6,"""bntr_"""
"0085bb78",6,"""bntl_"""
"0085be07",13,""";Slowerlegr"""
"0085be14",12,"""Slowerlegl"""
"0085be30",12,"""Supperlegr"""
"0085be3c",12,"""Supperlegl"""
"0085be48",8,"""SRhand"""
"0085be50",8,"""SLhand"""
"0085be58",12,"""Supperarmr"""
"0085be64",12,"""Supperarml"""
"0085be70",8,"""Shead"""
"0085be83",9,""";pedal_l"""
"0085be8c",8,"""pedal_r"""
"0085be94",12,"""chainset"""
"0085bea0",8,"""bargrip"""
"0085bea8",12,"""mudguard"""
"0085beb4",12,"""wheel_rear"""
"0085bec0",12,"""wheel_front"""
"0085becc",12,"""forks_rear"""
"0085bed8",12,"""forks_front"""
"0085bee4",12,"""light_right"""
"0085bef0",12,"""light_left"""
"0085befc",16,"""light_tailplane"""
"0085bf0c",12,"""propeller"""
"0085bf18",20,"""wheel_rear_dummy"""
"0085bf2c",18,"""wheel_front_dummy"""
"0085bf40",12,"""skid_right"""
"0085bf4c",12,"""skid_left"""
"0085bf58",8,"""topknot"""
"0085bf68",12,"""backrotor"""
"0085bf74",12,"""toprotor"""
"0085bf80",14,"""chassis_dummy"""
"0085bf90",16,"""ped_right_entry"""
"0085bfa0",16,"""ped_mid_entry"""
"0085bfb0",16,"""ped_left_entry"""
"0085bfc0",12,"""bogie_rear"""
"0085bfcc",12,"""bogie_front"""
"0085bfd8",16,"""wheel_lb3_dummy"""
"0085bfe8",16,"""wheel_lb2_dummy"""
"0085bff8",16,"""wheel_lb1_dummy"""
"0085c008",16,"""wheel_lf3_dummy"""
"0085c018",16,"""wheel_lf2_dummy"""
"0085c028",16,"""wheel_lf1_dummy"""
"0085c038",16,"""wheel_rb3_dummy"""
"0085c048",16,"""wheel_rb2_dummy"""
"0085c058",16,"""wheel_rb1_dummy"""
"0085c068",16,"""wheel_rf3_dummy"""
"0085c078",16,"""wheel_rf2_dummy"""
"0085c088",16,"""wheel_rf1_dummy"""
"0085c098",20,"""windscreen_hi_ok"""
"0085c0ac",20,"""boat_rearflap_right"""
"0085c0c0",20,"""boat_rearflap_left"""
"0085c0d4",16,"""boat_flap_right"""
"0085c0e4",16,"""boat_flap_left"""
"0085c0f4",16,"""boat_rudder_hi"""
"0085c104",15,"""boat_moving_hi"""
"0085c114",12,"""handlebars"""
"0085c120",12,"""rear_axle"""
"0085c12c",16,"""suspension_lf"""
"0085c13c",16,"""suspension_rf"""
"0085c14c",16,"""body_rear_dummy"""
"0085c15c",20,"""body_front_dummy"""
"0085c170",8,"""loadbay"""
"0085c178",16,"""transmission_r"""
"0085c188",16,"""transmission_f"""
"0085c198",12,"""elevators"""
"0085c1a4",16,"""moving_rotor2"""
"0085c1b4",16,"""static_rotor2"""
"0085c1c4",16,"""moving_rotor"""
"0085c1d4",16,"""static_rotor"""
"0085c1e4",12,"""wingtip_pos"""
"0085c1f0",12,"""rudder_pos"""
"0085c1fc",16,"""elevator_pos"""
"0085c20c",12,"""aileron_pos"""
"0085c228",12,"""aileron_r"""
"0085c234",12,"""aileron_l"""
"0085c240",12,"""elevator_r"""
"0085c24c",12,"""elevator_l"""
"0085c258",8,"""rudder"""
"0085c260",16,"""moving_prop2"""
"0085c270",16,"""static_prop2"""
"0085c280",12,"""moving_prop"""
"0085c28c",12,"""static_prop"""
"0085c298",12,"""ug_nitro"""
"0085c2ac",16,"""ug_lights_dam"""
"0085c2bc",12,"""ug_lights"""
"0085c2c8",16,"""ug_backbullbar"""
"0085c2d8",16,"""ug_frontbullbar"""
"0085c2e8",16,"""ug_wing_right"""
"0085c2f8",16,"""ug_wing_left"""
"0085c308",16,"""ug_spoiler_dam"""
"0085c318",12,"""ug_spoiler"""
"0085c324",20,"""ug_bonnet_right_dam"""
